Time resolution is 1 ps
-------------------------------------------------------------
Time	| CLK |  A  |  B  |  Product
-------------------------------------------------------------
                   0	|  0  |  0 |  0 | x
                5000	|  1  |  0 |  0 | x
               10000	|  0  |  0 |  0 | x
               12000	|  0  |  3 |  5 | x
               15000	|  1  |  3 |  5 | x
               20000	|  0  |  3 |  5 | x
               22000	|  0  |  7 |  2 | x
               25000	|  1  |  7 |  2 | x
               30000	|  0  |  7 |  2 | x
               32000	|  0  |  8 |  9 | x
               35000	|  1  |  8 |  9 |   0
               40000	|  0  |  8 |  9 |   0
               42000	|  0  | 15 | 15 |   0
               45000	|  1  | 15 | 15 |  15
               50000	|  0  | 15 | 15 |  15
               52000	|  0  |  6 |  4 |  15
               55000	|  1  |  6 |  4 |  14
               60000	|  0  |  6 |  4 |  14
               65000	|  1  |  6 |  4 |  72
               70000	|  0  |  6 |  4 |  72
               75000	|  1  |  6 |  4 | 225
               80000	|  0  |  6 |  4 | 225
               85000	|  1  |  6 |  4 |  24
               90000	|  0  |  6 |  4 |  24
               95000	|  1  |  6 |  4 |  24
              100000	|  0  |  6 |  4 |  24
              105000	|  1  |  6 |  4 |  24
              110000	|  0  |  6 |  4 |  24
              115000	|  1  |  6 |  4 |  24
              120000	|  0  |  6 |  4 |  24
              125000	|  1  |  6 |  4 |  24
              130000	|  0  |  6 |  4 |  24
              135000	|  1  |  6 |  4 |  24
              140000	|  0  |  6 |  4 |  24
              145000	|  1  |  6 |  4 |  24
              150000	|  0  |  6 |  4 |  24
$finish called at time : 152 ns : File "C:/Users/hp/Desktop/VLSI PROJECTS/4 Stage Pipelined Multiplier/4 Stage Pipelined Multiplier.srcs/sim_1/new/tb_pipelined_multiplier.v" Line 37
